Timesteps,Total,noIce,Ice,Percentage
0.06,424,421,3,0.71
0.07,849,718,131,15.43
0.08,1274,770,504,39.56
0.09,1701,918,783,46.03
0.1,2125,1331,794,37.36
0.11,2215,1402,813,36.7
0.12,2227,1419,808,36.28
0.13,2216,1431,785,35.42
0.14,2215,1431,784,35.4
0.15,2200,1399,801,36.41
0.16,2204,1408,796,36.12
0.17,2217,1419,798,35.99
0.18,2217,1426,791,35.68
0.19,2232,1436,796,35.66
0.2,2221,1406,815,36.7
