"cellId","origId","iceLabel","Points:0","Points:1","Points:2"
2301,189,0,1.0094,0.048628,-2.8105e-07
2279,222,0,1.0393,0.043472,3.9988e-08
2333,80,0,0.97574,0.054939,1.5377e-07
1253,148,0,0.69725,0.11287,-1.4293e-07
1804,186,0,0.77892,0.089343,4.0022e-08
2740,220,0,0.95279,0.05175,-5.0167e-07
1908,215,0,0.79588,0.08695,5.4354e-08
2652,223,0,1.0656,0.036676,4.7213e-07
2352,221,0,0.89306,0.062062,3.8838e-07
2692,228,0,1.0482,0.040162,-2.6735e-07
2697,229,0,0.99758,0.042341,6.6817e-08
2615,224,0,1.0549,0.031218,-1.929e-07
2722,227,0,0.97856,0.045322,1.3583e-07
2724,225,0,0.96031,0.045588,-1.062e-06
2074,183,0,0.83211,0.066093,-2.4951e-07
2734,234,0,0.94017,0.049654,-1.0648e-07
2732,237,0,0.95553,0.048947,4.1881e-08
1942,232,0,0.80179,0.0838,1.5681e-08
2752,233,0,0.9155,0.055036,-2.84e-07
2600,231,0,1.0195,0.028579,1.8576e-07
2211,230,0,0.85759,0.06696,8.669e-09
2620,226,0,1.0059,0.031537,1.2121e-07
2717,242,0,0.92808,0.043185,-3.4073e-08
1702,236,0,0.75803,0.095122,-9.818e-08
2644,235,0,0.96434,0.034861,5.8995e-08
2717,238,0,0.92572,0.042915,-8.6643e-07
2113,240,0,0.8371,0.072658,-7.1763e-08
2386,241,0,0.90716,0.050089,-2.2305e-07
2262,243,0,0.87165,0.055723,3.9847e-07
1974,245,0,0.80856,0.078361,2.1167e-08
1932,246,0,0.80645,0.068946,-8.0843e-07
1728,250,0,0.76348,0.08607,9.4798e-09
1902,249,0,0.79528,0.078775,-1.4056e-07
1798,253,0,0.78117,0.081976,1.027e-07
1206,248,0,0.69553,0.10342,2.9633e-09
1829,247,0,0.78846,0.075762,5.5553e-08
1043,252,0,0.6724,0.11945,1.4804e-08
1761,254,0,0.77401,0.081553,3.2159e-07
1040,255,0,0.67465,0.11658,1.8955e-07
1896,251,0,0.80067,0.069159,-1.9139e-09
1614,239,0,0.74999,0.08105,-8.3177e-09
1587,256,0,0.7419,0.088958,6.9681e-08
971,261,0,0.6639,0.12066,-2.2099e-07
587,244,0,0.61829,0.13358,1.0633e-06
1140,262,0,0.68659,0.10878,-3.1561e-08
1375,260,0,0.71541,0.09449,1.2818e-08
1378,266,0,0.71584,0.096334,-3.7724e-08
1241,263,0,0.70019,0.10232,2.436e-08
894,257,0,0.65774,0.11508,9.3577e-07
690,258,0,0.63344,0.12695,-4.7285e-07
893,265,0,0.65676,0.11484,-1.856e-07
1126,267,0,0.68525,0.097827,4.5838e-08
756,269,0,0.64228,0.12035,-2.492e-07
953,270,0,0.66395,0.10319,-3.2305e-08
723,271,0,0.63838,0.12371,8.0006e-08
958,273,0,0.66669,0.10718,7.3784e-07
751,275,0,0.64292,0.11414,-1.6921e-07
814,268,0,0.64909,0.10471,5.158e-07
619,276,0,0.62318,0.12816,1.2618e-06
804,259,0,0.64918,0.093965,3.0738e-07
645,274,0,0.63032,0.11466,6.9057e-07
237,188,0,0.58022,0.1449,3.8282e-08
678,281,0,0.63147,0.11228,1.0024e-07
201,264,0,0.57649,0.1435,-1.5769e-07
705,279,0,0.63517,0.10191,-5.1727e-08
538,284,0,0.61411,0.11519,-1.4249e-06
632,283,0,0.63029,0.097732,3.0635e-07
236,272,0,0.5776,0.14331,-6.4424e-07
599,285,0,0.6231,0.10158,-2.093e-07
502,286,0,0.60987,0.11468,5.0434e-08
488,277,0,0.61317,0.094212,-4.9917e-07
491,282,0,0.6112,0.097369,6.2069e-08
364,293,0,0.59429,0.11991,2.3679e-07
327,292,0,0.59142,0.11688,-7.6948e-09
348,280,0,0.59678,0.093964,1.4194e-07
289,297,0,0.58724,0.11193,1.8261e-07
322,296,0,0.59006,0.10931,3.6515e-07
