"cellId","origId","iceLabel","Points:0","Points:1","Points:2"
2397,5433,0,0.50206,0.12658,6.2346e-07
2367,5434,0,0.49648,0.13712,-1.3985e-07
2285,5435,0,0.48742,0.11191,7.3191e-07
2280,5436,0,0.48791,0.099638,9.2917e-07
2388,5437,0,0.50171,0.10596,-9.707e-08
2367,5438,0,0.49603,0.13614,-4.9825e-07
2426,5439,0,0.50494,0.11284,-6.4032e-08
2296,5440,0,0.4894,0.13614,-1.4454e-07
2291,5441,0,0.48652,0.12415,8.7262e-08
2289,5442,0,0.48644,0.12103,1.951e-07
2208,5443,0,0.4787,0.095629,7.7605e-08
2322,5444,0,0.49109,0.11601,4.7849e-07
2175,5445,0,0.47289,0.10077,4.7281e-07
2258,5446,0,0.48087,0.12795,5.0858e-07
2252,5447,0,0.48136,0.11674,2.0907e-07
2178,5448,0,0.47244,0.10735,-4.8191e-07
2147,5449,0,0.46675,0.11568,-2.0646e-07
2118,5450,0,0.46587,0.12799,-5.2359e-08
2107,5451,0,0.46567,0.10395,-6.744e-08
2052,5452,0,0.45357,0.13642,1.3081e-08
1892,5453,0,0.43588,0.093646,-4.7631e-08
2076,5454,0,0.45882,0.11232,1.9547e-07
2012,5455,0,0.44991,0.12533,1.8568e-07
2040,5456,0,0.45401,0.11098,4.1291e-08
2042,5457,0,0.45283,0.11393,-1.8788e-08
2002,5458,0,0.4489,0.1041,-6.3631e-08
1969,5459,0,0.44573,0.10717,-4.1621e-08
1949,5460,0,0.43948,0.13692,5.4343e-08
1941,5461,0,0.43918,0.12242,-3.081e-07
1880,5462,0,0.43291,0.1377,1.4367e-07
1812,5463,0,0.42134,0.13908,-2.2456e-07
1787,5464,0,0.4218,0.092514,3.3326e-07
1470,5465,0,0.37854,0.089359,-2.5542e-07
1828,5466,0,0.42651,0.10396,-1.1407e-07
1798,5467,0,0.42271,0.11235,-4.3871e-07
1756,5468,0,0.41667,0.10042,-3.2554e-08
1775,5469,0,0.41599,0.13333,1.1141e-07
1802,5470,0,0.4218,0.12073,1.097e-07
1731,5471,0,0.41129,0.11641,9.5241e-08
1696,5472,0,0.40861,0.11648,4.7706e-07
1663,5473,0,0.40551,0.11835,-4.198e-07
1668,5474,0,0.40329,0.12625,-2.3671e-07
1621,5475,0,0.39937,0.10664,4.0935e-08
1604,5476,0,0.39388,0.13355,-1.0322e-07
1585,5477,0,0.39243,0.1043,9.5532e-08
1553,5478,0,0.38934,0.10954,9.342e-09
1528,5479,0,0.3865,0.12283,-1.0009e-07
1223,5480,0,0.34113,0.12979,-2.4813e-07
1492,5481,0,0.37978,0.12034,3.999e-07
1451,5482,0,0.37654,0.11214,-4.1731e-10
1428,5483,0,0.3735,0.1284,-3.1274e-08
1369,5484,0,0.36707,0.094784,3.6534e-07
1225,5485,0,0.3476,0.089699,1.4167e-07
1348,5486,0,0.36173,0.11259,2.6894e-10
1317,5487,0,0.35855,0.11758,1.3949e-10
1310,5488,0,0.35497,0.10815,1.617e-10
1300,5489,0,0.35474,0.094984,-1.0605e-07
1233,5490,0,0.34729,0.099031,-5.2311e-10
1048,5491,0,0.32017,0.12744,-2.176e-07
1183,5492,0,0.33687,0.12351,-1.3578e-07
1051,5493,0,0.32328,0.089863,-7.3773e-08
1143,5494,0,0.33264,0.11718,5.4452e-10
1105,5495,0,0.32872,0.11326,6.0997e-10
1072,5496,0,0.32447,0.11501,-4.2377e-10
1025,5497,0,0.32,0.10035,-5.3103e-11
978,5498,0,0.30948,0.12764,-1.3142e-07
1006,5499,0,0.31236,0.11894,-4.1113e-10
911,5500,0,0.30196,0.089691,1.0058e-07
936,5501,0,0.30462,0.11916,4.6461e-12
879,5502,0,0.30044,0.093204,-1.9006e-07
866,5503,0,0.29701,0.11933,2.8593e-11
856,5504,0,0.29358,0.1076,5.5161e-10
809,5505,0,0.28904,0.093695,1.8308e-07
559,5506,0,0.25163,0.12902,-2.0467e-07
664,5507,0,0.26403,0.1286,2.3483e-07
707,5508,0,0.27708,0.097322,-2.3022e-10
667,5509,0,0.27212,0.090864,2.8755e-07
693,5510,0,0.26897,0.12182,-8.7859e-07
651,5511,0,0.26504,0.11315,-1.6295e-10
628,5512,0,0.26029,0.12679,1.1283e-07
571,5513,0,0.25658,0.10146,-1.4133e-10
553,5514,0,0.25266,0.1212,-6.2276e-08
513,5515,0,0.24776,0.11602,2.7105e-20
475,5516,0,0.24346,0.11178,-9.7449e-10
445,5517,0,0.23872,0.11801,1.8789e-10
400,5518,0,0.23382,0.10648,-1.7838e-10
354,5519,0,0.22899,0.09355,-1.6384e-07
346,5520,0,0.22392,0.12505,-4.5864e-09
