"cellId","origId","iceLabel","Points:0","Points:1","Points:2"
2297,1875,0,1.0492,0.048004,6.4198e-07
2260,1860,0,0.90924,0.064023,9.1799e-09
2304,1909,0,0.98563,0.049698,-2.2429e-07
2303,1921,0,0.99298,0.048388,1.4126e-07
2283,1922,0,0.99733,0.044737,3.5134e-07
1254,1746,0,0.6994,0.11279,-5.2196e-08
2666,1767,0,0.9468,0.036674,7.2824e-09
2740,1904,0,0.949,0.052123,-5.4209e-07
2750,1913,0,0.92642,0.054995,-6.9655e-07
1976,1844,0,0.80868,0.081217,1.1313e-07
2502,1902,0,1.0488,0.017106,-1.151e-07
2721,1930,0,0.98718,0.04548,1.5748e-07
1219,1879,0,0.69452,0.11438,-1.9041e-07
2634,1923,0,1.0565,0.03403,-4.8567e-08
2541,1915,0,1.0358,0.021476,-8.0007e-08
2559,1918,0,1.0441,0.023253,4.781e-08
2385,1871,0,0.90541,0.047407,-1.4648e-07
2713,1929,0,0.95541,0.042914,1.291e-07
2079,1919,0,0.83357,0.074092,-5.0606e-08
2661,1937,0,0.98277,0.036653,2.1034e-07
2640,1926,0,0.99789,0.033439,2.7386e-08
2369,1924,0,0.90149,0.055227,7.7781e-08
2623,1932,0,0.97909,0.032116,8.9731e-07
2682,1931,0,0.96403,0.037763,1.2008e-08
2716,1935,0,0.93378,0.04507,4.485e-07
2369,1936,0,0.90018,0.056587,-3.4136e-07
2331,1939,0,0.88636,0.059012,9.6844e-10
2683,1934,0,0.95624,0.037714,5.3425e-07
2368,1948,0,0.8999,0.054371,1.819e-08
2718,1942,0,0.92369,0.043556,-2.9697e-07
2348,1938,0,0.89661,0.051118,3.3039e-07
2239,1933,0,0.85973,0.060115,1.3685e-06
2111,1947,0,0.83485,0.068893,-3.1105e-07
1768,1944,0,0.77273,0.08879,2.6749e-07
2325,1940,0,0.8855,0.045486,-3.0684e-07
2205,1945,0,0.85858,0.055235,5.1735e-07
2283,1927,0,0.87667,0.051526,-2.4813e-07
1900,1952,0,0.79967,0.074569,-2.5074e-08
1658,1943,0,0.75211,0.08752,-2.5497e-07
1761,1953,0,0.77478,0.081596,-2.2538e-07
1109,1959,0,0.68127,0.11352,-3.3683e-08
829,1949,0,0.65071,0.12126,-6.6239e-07
1623,1957,0,0.75008,0.087948,1.0845e-07
1693,1955,0,0.75677,0.086441,4.9476e-08
1793,1950,0,0.77823,0.076973,2.4421e-08
866,1951,0,0.65278,0.12326,-6.5197e-07
1549,1956,0,0.73396,0.088554,9.0724e-08
1484,1960,0,0.7267,0.094715,-4.4147e-07
1587,1963,0,0.73901,0.089231,1.4645e-08
1411,1961,0,0.71906,0.094283,-1.4095e-07
1339,1962,0,0.70982,0.095202,2.4413e-07
1240,1964,0,0.69703,0.10264,2.3409e-08
1075,1966,0,0.67677,0.1158,-5.6074e-08
1403,1954,0,0.71818,0.088727,1.2844e-07
986,1928,0,0.67011,0.10033,-1.6168e-07
1093,1968,0,0.68322,0.099791,9.9783e-08
586,1958,0,0.62042,0.13229,7.0352e-08
765,1941,0,0.64671,0.089353,-1.0814e-07
824,1971,0,0.64829,0.11656,1.9165e-08
1267,1967,0,0.70064,0.095023,-6.1891e-08
891,1974,0,0.65684,0.11231,-3.1231e-07
1024,1969,0,0.6746,0.10257,-2.4662e-07
1125,1965,0,0.6846,0.096902,1.093e-07
624,1972,0,0.62255,0.13559,2.3304e-07
887,1975,0,0.65612,0.10879,-5.8562e-07
746,1973,0,0.64209,0.10799,-5.233e-09
876,1970,0,0.65717,0.097417,-8.4512e-08
802,1946,0,0.64808,0.091419,-9.0624e-08
947,1976,0,0.66355,0.098296,2.8492e-07
685,1981,0,0.63296,0.1217,-4.5615e-07
586,1977,0,0.62121,0.13171,-6.1741e-08
579,1983,0,0.61838,0.12302,-1.6693e-07
736,1980,0,0.64207,0.096655,-1.2832e-07
305,1978,0,0.58779,0.13939,-1.2888e-06
675,1984,0,0.63362,0.10772,6.919e-08
541,1990,0,0.61428,0.11967,3.0712e-07
568,1992,0,0.62167,0.10774,3.6383e-07
536,1985,0,0.61488,0.11246,1.8723e-07
369,1989,0,0.59354,0.12808,-2.3019e-08
267,1979,0,0.5829,0.13487,3.49e-07
398,1994,0,0.60079,0.11792,-4.566e-07
232,1993,0,0.58015,0.13568,-2.4515e-07
369,2001,0,0.59459,0.12791,5.8695e-07
393,1982,0,0.60131,0.10942,-8.4235e-07
332,1991,0,0.59172,0.12582,7.5843e-07
338,1999,0,0.59081,0.1349,2.4032e-07
490,1987,0,0.61358,0.095754,-2.3136e-07
240,1893,0,0.58131,0.088455,-8.1819e-08
231,1997,0,0.57975,0.13421,8.1431e-08
345,1988,0,0.59634,0.089883,-7.0013e-08
327,1995,0,0.59145,0.11729,7.5659e-07
163,1996,0,0.57179,0.13854,-5.8879e-08
294,1998,0,0.58819,0.12109,-9.1929e-09
383,1986,0,0.59804,0.094193,-2.6368e-07
158,2003,0,0.57223,0.12972,6.9689e-07
222,2000,0,0.57745,0.11984,-2.1266e-07
220,2007,0,0.57679,0.11485,5.8731e-07
183,2005,0,0.57371,0.11309,-2.5825e-08
148,2006,0,0.5694,0.1126,4.2171e-07
135,1898,0,0.57096,0.088753,2.8405e-07
80,2009,0,0.56129,0.11741,1.0685e-07
55,2010,0,0.559,0.11968,-3.353e-07
106,2004,0,0.56581,0.099359,-3.4282e-07
12,2015,0,0.54714,0.12569,2.5126e-07
108,2008,0,0.56431,0.10341,8.5779e-09
2694,1843,0,0.53891,0.15651,-3.2997e-07
2653,2002,0,0.5365,0.14471,-1.8379e-07
2441,2011,0,0.50588,0.1437,-3.9494e-07
2749,2012,0,0.55441,0.1119,4.6402e-07
2170,2013,0,0.47152,0.090126,-1.2122e-07
2680,2014,0,0.54052,0.1275,2.5015e-07
2647,2016,0,0.53509,0.13188,-2.3388e-07
2612,2017,0,0.53004,0.1326,-1.0657e-06
2683,2018,0,0.54126,0.13305,-7.5201e-08
2335,2019,0,0.49169,0.14461,-6.2944e-07
2419,2020,0,0.50738,0.097222,-1.9529e-07
2493,2021,0,0.51666,0.10669,9.8889e-07
2733,2022,0,0.54671,0.11521,-3.4757e-07
2578,2023,0,0.52646,0.13532,5.7079e-08
2541,2024,0,0.52023,0.1332,-3.394e-07
2301,2025,0,0.48737,0.14568,-6.4146e-07
2494,2026,0,0.5154,0.10858,4.0457e-08
2436,2027,0,0.50536,0.13312,-4.2495e-07
2503,2028,0,0.51439,0.127,-1.3516e-07
2468,2029,0,0.51256,0.12712,-2.2683e-08
2468,2030,0,0.50949,0.12792,-1.35e-07
2433,2031,0,0.50465,0.12798,4.9471e-07
2402,2032,0,0.50211,0.13568,3.3551e-07
2367,2033,0,0.49516,0.13707,8.3984e-08
2358,2034,0,0.49939,0.11824,5.0726e-07
