,origId,iceLabel,d,T,Points:0,Points:1,Points:2
0,73,0,1e-05,552.89,1.0837,0.05248,-3.8128e-07
1,73,0,1e-05,552.89,1.0837,0.05168277708665786,0.009112680876460435
2,73,0,1e-05,552.89,1.0837,0.04931519914428472,0.01794885883572864
3,73,0,1e-05,552.89,1.0837,0.04544920383060735,0.02623966980183404
4,73,0,1e-05,552.89,1.0837,0.04020225745694379,0.0337332016789243
5,73,0,1e-05,552.89,1.0837,0.03373378583377486,0.040201767292824146
6,73,0,1e-05,552.89,1.0837,0.026240330198165962,0.04544882255060734
7,73,0,1e-05,552.89,1.0837,0.017949575407733554,0.049314938333404224
8,73,0,1e-05,552.89,1.0837,0.009113431851460576,0.051682644669503494
9,73,0,1e-05,552.89,1.0837,3.8128000000321347e-07,0.05248
10,73,0,1e-05,552.89,1.0837,-0.009112680876460433,0.05168277708665786
11,73,0,1e-05,552.89,1.0837,-0.01794885883572864,0.04931519914428472
12,73,0,1e-05,552.89,1.0837,-0.026239669801834033,0.04544920383060735
13,73,0,1e-05,552.89,1.0837,-0.03373320167892431,0.04020225745694379
14,73,0,1e-05,552.89,1.0837,-0.04020176729282414,0.033733785833774864
15,73,0,1e-05,552.89,1.0837,-0.045448822550607344,0.02624033019816595
16,73,0,1e-05,552.89,1.0837,-0.049314938333404224,0.017949575407733554
17,73,0,1e-05,552.89,1.0837,-0.051682644669503494,0.009113431851460569
18,73,0,1e-05,552.89,1.0837,-0.05248,3.8128000000642695e-07
19,73,0,1e-05,552.89,1.0837,-0.05168277708665786,-0.009112680876460442
20,73,0,1e-05,552.89,1.0837,-0.04931519914428472,-0.017948858835728637
21,73,0,1e-05,552.89,1.0837,-0.04544920383060734,-0.02623966980183405
22,73,0,1e-05,552.89,1.0837,-0.04020225745694379,-0.0337332016789243
23,73,0,1e-05,552.89,1.0837,-0.033733785833774864,-0.04020176729282414
24,73,0,1e-05,552.89,1.0837,-0.02624033019816598,-0.04544882255060733
25,73,0,1e-05,552.89,1.0837,-0.017949575407733537,-0.04931493833340423
26,73,0,1e-05,552.89,1.0837,-0.009113431851460572,-0.051682644669503494
27,73,0,1e-05,552.89,1.0837,-3.812800000096404e-07,-0.05248
28,73,0,1e-05,552.89,1.0837,0.009112680876460416,-0.05168277708665787
29,73,0,1e-05,552.89,1.0837,0.017948858835728655,-0.04931519914428471
30,73,0,1e-05,552.89,1.0837,0.02623966980183405,-0.04544920383060734
31,73,0,1e-05,552.89,1.0837,0.0337332016789243,-0.040202257456943793
32,73,0,1e-05,552.89,1.0837,0.04020176729282413,-0.03373378583377487
33,73,0,1e-05,552.89,1.0837,0.04544882255060732,-0.02624033019816598
34,73,0,1e-05,552.89,1.0837,0.04931493833340423,-0.01794957540773354
35,73,0,1e-05,552.89,1.0837,0.051682644669503494,-0.009113431851460576
36,73,0,1e-05,552.89,1.0837,0.05248,-3.8128000001285387e-07
37,194,0,1e-05,576.21,1.0777,0.04843,1.5832e-07
38,194,0,1e-05,576.21,1.0777,0.047694211986401745,0.008409937159172893
39,194,0,1e-05,576.21,1.0777,0.04550925947603245,0.01656418431339786
40,194,0,1e-05,576.21,1.0777,0.04194153114528037,0.024215137109141926
41,194,0,1e-05,576.21,1.0777,0.03709943061411774,0.03113032521727533
42,194,0,1e-05,576.21,1.0777,0.03113008265696287,0.03709963414638647
43,194,0,1e-05,576.21,1.0777,0.02421486289085808,0.04194168946528036
44,194,0,1e-05,576.21,1.0777,0.01656388676912642,0.045509367773290635
45,194,0,1e-05,576.21,1.0777,0.008409625329645983,0.04769426697036073
46,194,0,1e-05,576.21,1.0777,-1.5831999999703452e-07,0.04843
47,194,0,1e-05,576.21,1.0777,-0.008409937159172893,0.047694211986401745
48,194,0,1e-05,576.21,1.0777,-0.01656418431339786,0.04550925947603245
49,194,0,1e-05,576.21,1.0777,-0.02421513710914192,0.04194153114528037
50,194,0,1e-05,576.21,1.0777,-0.031130325217275337,0.03709943061411774
51,194,0,1e-05,576.21,1.0777,-0.037099634146386465,0.031130082656962873
52,194,0,1e-05,576.21,1.0777,-0.04194168946528037,0.024214862890858068
53,194,0,1e-05,576.21,1.0777,-0.045509367773290635,0.016563886769126422
54,194,0,1e-05,576.21,1.0777,-0.04769426697036073,0.008409625329645976
55,194,0,1e-05,576.21,1.0777,-0.04843,-1.5831999999406903e-07
56,194,0,1e-05,576.21,1.0777,-0.047694211986401745,-0.0084099371591729
57,194,0,1e-05,576.21,1.0777,-0.04550925947603245,-0.016564184313397855
58,194,0,1e-05,576.21,1.0777,-0.04194153114528036,-0.024215137109141936
59,194,0,1e-05,576.21,1.0777,-0.03709943061411774,-0.03113032521727533
60,194,0,1e-05,576.21,1.0777,-0.031130082656962873,-0.037099634146386465
61,194,0,1e-05,576.21,1.0777,-0.024214862890858092,-0.04194168946528035
62,194,0,1e-05,576.21,1.0777,-0.016563886769126405,-0.04550936777329064
63,194,0,1e-05,576.21,1.0777,-0.008409625329645978,-0.04769426697036073
64,194,0,1e-05,576.21,1.0777,1.5831999999110356e-07,-0.04843
65,194,0,1e-05,576.21,1.0777,0.008409937159172876,-0.04769421198640175
66,194,0,1e-05,576.21,1.0777,0.016564184313397873,-0.045509259476032446
67,194,0,1e-05,576.21,1.0777,0.024215137109141936,-0.04194153114528036
68,194,0,1e-05,576.21,1.0777,0.03113032521727533,-0.037099430614117745
69,194,0,1e-05,576.21,1.0777,0.037099634146386465,-0.03113008265696288
70,194,0,1e-05,576.21,1.0777,0.04194168946528035,-0.024214862890858092
